0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
NGR_0014 copy.jpg,666,667,670,670,668,666,666,667,668,668,667,665,668,669,669,668,667,666,669,670,670,668,667,668,670,668,669,666,668,669,669,668,666,667,667,667,665,664,667,669,666,655,662,664,662,652,658,659,657,655
NGR_0016 copy.jpg,667,671,669,669,668,666,666,667,669,668,667,665,667,669,669,669,667,666,670,671,671,669,667,668,670,669,669,666,668,670,670,669,666,667,667,669,666,665,668,668,667,663,663,664,662,660,658,659,658,658
NGR_0018 copy.jpg,666,667,664,663,661,660,661,666,667,667,667,664,666,668,669,667,666,664,668,670,670,668,666,669,670,668,659,659,660,668,668,668,658,659,656,654,657,656,664,667,664,654,654,651,651,649,650,650,647,652
NGR_0020 copy.jpg,666,671,670,670,668,665,665,667,668,668,668,665,668,670,670,669,667,667,669,671,671,669,668,669,671,669,670,666,668,671,669,669,667,668,668,669,667,666,668,668,667,664,663,662,663,652,658,657,659,659
NGR_0022 copy.jpg,665,667,665,663,661,660,665,667,668,667,667,665,668,670,670,668,667,665,670,671,671,669,668,664,670,670,670,667,662,666,669,669,660,661,667,669,667,658,659,668,666,655,655,654,651,650,653,651,648,653
NGR_0024 copy.jpg,664,666,663,663,661,660,661,663,662,660,666,664,663,670,670,661,662,661,663,671,670,668,667,662,664,657,661,659,662,662,659,659,659,660,657,654,660,658,659,654,656,655,656,636,649,649,651,647,645,646
NGR_0026 copy.jpg,665,667,665,663,663,662,666,667,670,669,668,666,669,670,671,670,668,667,671,672,672,671,669,672,672,671,672,668,669,671,670,671,668,669,670,671,668,659,667,668,668,657,664,663,664,653,658,658,649,654
NGR_0028 copy.jpg,664,667,669,670,668,667,666,668,670,669,668,666,669,671,672,670,668,667,671,672,672,671,669,670,672,671,672,668,670,671,670,671,668,670,670,671,669,660,668,670,667,658,663,663,664,653,654,654,649,654
NGR_0030 copy.jpg,664,666,669,670,668,666,666,668,669,669,669,666,669,671,671,671,669,669,672,673,673,672,670,671,673,672,672,663,664,672,671,670,662,663,671,671,669,660,661,659,668,656,657,656,653,653,654,654,649,649
NGR_0031 copy.jpg,664,667,665,664,663,662,666,669,670,669,669,666,669,671,671,670,669,667,671,673,673,671,670,672,673,672,672,668,664,672,671,670,661,662,671,671,669,660,668,669,668,657,664,663,652,653,652,652,648,648
NGR_0032 copy.jpg,665,666,664,664,663,662,666,668,670,669,669,667,669,672,672,670,668,669,672,673,673,671,670,671,672,673,672,663,671,672,672,671,662,670,671,671,669,660,662,658,668,657,658,655,651,652,657,656,648,656
NGR_0033 copy.jpg,665,667,664,664,668,663,667,669,670,669,670,668,671,672,673,672,670,669,673,674,674,673,671,674,674,673,674,670,672,674,673,673,670,672,672,672,670,662,662,662,670,659,658,658,666,653,658,657,649,655
NGR_0034 copy.jpg,665,667,669,670,668,666,666,669,671,670,670,668,671,672,673,672,670,669,673,675,674,673,672,674,675,673,674,670,672,674,673,673,671,672,672,673,671,662,672,672,670,659,666,665,667,655,660,660,650,655
NGR_0035 copy.jpg,665,671,665,669,668,667,667,670,671,671,670,668,671,673,674,673,671,670,674,675,675,674,673,675,676,674,675,671,672,675,674,674,672,673,674,674,672,671,672,672,671,660,660,665,668,655,659,658,650,650
NGR_0036 copy.jpg,670,671,670,670,669,668,668,670,671,671,671,669,671,674,675,673,671,671,674,675,675,674,672,673,675,675,675,673,672,674,675,674,672,673,674,674,673,670,672,673,672,669,667,667,668,665,663,663,661,661
NGR_0037 copy.jpg,665,666,664,664,664,664,668,669,672,671,670,669,671,673,674,673,672,671,675,676,676,675,672,675,675,675,676,672,666,676,676,665,666,667,674,674,664,664,667,672,658,661,660,660,668,654,656,655,649,649
NGR_0038 copy.jpg,666,671,670,671,669,668,669,670,672,672,672,669,672,675,676,674,672,672,675,676,676,676,674,676,678,676,677,674,674,677,676,676,674,674,675,675,675,673,674,675,673,670,667,667,669,657,663,662,651,651
NGR_0039 copy.jpg,664,666,664,664,664,668,669,672,672,672,671,670,668,675,675,674,672,671,675,677,676,676,675,671,678,677,677,667,667,676,677,676,667,667,676,675,665,665,666,673,659,661,661,659,669,656,658,654,650,650
NGR_0040 copy.jpg,669,671,670,671,669,669,669,670,673,672,672,670,673,675,676,675,673,672,676,678,677,677,676,676,678,678,678,675,676,678,678,678,675,675,677,677,676,674,675,675,675,671,668,669,671,667,665,664,663,651
NGR_0041 copy.jpg,664,666,664,663,664,664,669,672,673,672,673,671,673,675,676,675,674,673,677,678,678,677,676,678,679,678,679,668,668,671,672,666,675,668,677,677,667,667,667,672,675,671,662,661,659,657,659,654,650,650
NGR_0042 copy.jpg,665,667,665,665,664,669,670,671,673,673,673,671,673,676,677,676,674,673,677,678,678,678,676,678,679,679,678,676,677,679,679,679,676,670,678,677,677,668,675,675,676,672,663,663,671,668,664,663,664,652
NGR_0043 copy.jpg,665,671,670,672,670,670,670,672,674,673,674,673,675,676,678,677,675,674,678,680,680,679,677,678,681,681,680,678,679,681,680,681,679,678,680,679,679,677,677,678,678,674,671,671,672,669,665,664,666,653
NGR_0044 copy.jpg,665,666,664,664,664,665,666,671,673,673,673,671,675,677,678,676,674,673,671,680,680,679,669,672,679,679,679,670,670,679,679,670,670,670,679,679,669,668,668,668,661,663,663,661,655,657,659,656,641,650
